Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic,Validation,Link
Dependency Injection,"The argument is not decorated for dependency injection",Missing @inject decorators,Add @inject decorators,Redesign service dependencies,Implement proper IoC architecture,DEBUG=loopback:context:* npm start,Services resolve without errors,loopback.io/doc/en/lb4/Dependency-injection.html
Dependency Injection,"Cannot resolve injected arguments for [Provider]",Circular dependencies,Break circular dependencies,Use facade pattern,Refactor service architecture,console.log(app.find('services.*')),All services bind properly,loopback.io/doc/en/lb4/Context.html
Dependency Injection,"The key is not bound to any value",Improper binding configuration,Check binding in application,Use proper binding patterns,Implement lifecycle management,DEBUG=loopback:* npm start,Context provides expected instances,loopback.io/doc/en/lb4/Binding.html
Repository Pattern,"Cannot read property 'findOne' of undefined",Incorrect context binding,Use .bind(this) in callbacks,Validate repository injection,Implement proper repository patterns,DEBUG=loopback:connector:* npm start,Repository methods work,loopback.io/doc/en/lb4/Repository.html
Repository Pattern,"You did not select a valid model",CLI command failures,Validate JSON configuration,Manually create artifacts,Use custom generators,jq . src/datasources/*.json,CLI commands complete,loopback.io/doc/en/lb4/CLI-reference.html
Repository Pattern,"QUERY_OBJECT_TOO_DEEP",Filter parameter mutation,Clone filter objects,Implement immutable filters,Use query builders,DEBUG=loopback:connector:* npm start,Queries execute properly,loopback.io/doc/en/lb4/Where-filter.html
Database Connection,"Timeout in connecting after 5000 ms",PostgreSQL connector issues,Use dataSource.ping(),Configure connection pools,Implement retry logic,DEBUG=loopback:connector:postgresql npm start,Connections establish,loopback.io/doc/en/lb4/Connecting-to-PostgreSQL.html
Database Connection,"Failed to connect to server on first connect",MongoDB connection failures,Enable autoReconnect,Configure retry logic,Implement connection monitoring,DEBUG=loopback:connector:mongodb npm start,MongoDB connects reliably,loopback.io/doc/en/lb4/Connecting-to-MongoDB.html
Database Connection,"Handshake inactivity timeout",MySQL connection pool exhaustion,Set lazyConnect: true,Configure pool size,Monitor connections,DEBUG=loopback:connector:mysql npm start,MySQL performs well,loopback.io/doc/en/lb4/Connecting-to-MySQL.html
Transactions,"Records not rolling back in catch blocks",Connector transaction failures,Check transaction support,Use proper transaction patterns,Implement manual rollback,DEBUG=loopback:connector:* npm start,Transactions work properly,loopback.io/doc/en/lb4/Using-database-transactions.html
Transactions,"beginTransaction() returning undefined",DefaultTransactionalRepository issues,Extend proper base class,Implement transaction methods,Use connector-specific patterns,console.log(typeof tx),Transactions return promises,loopback.io/doc/en/lb4/TransactionalRepository.html
Model Relations,"property [foreignKey] already exist",CLI relation generation,Skip CLI generation,Manual relation setup,Use weak relations,lb4 relation --debug,Relations created properly,loopback.io/doc/en/lb4/Relations.html
Model Relations,"RangeError: Maximum call stack size exceeded",Self-referencing relations,Avoid self-references,Implement proper guards,Use separate controllers,DEBUG=loopback:* npm start,No stack overflow,loopback.io/doc/en/lb4/HasMany-relation.html
