Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Producer Configuration,"TimeoutException: Topic X not present in metadata","Incorrect bootstrap servers or network issues","Check bootstrap.servers configuration","Verify network connectivity and DNS","Implement retry logic with exponential backoff","kafka-console-producer.sh --bootstrap-server localhost:9092 --topic test","Producer sends messages successfully","https://kafka.apache.org/documentation/#producerconfigs"
Producer Configuration,"NetworkException: Connection to node X could not be established","Network connectivity or firewall blocking","Check firewall rules and network","Verify broker ports are accessible","Configure proper security groups","telnet broker1 9092","Successful connection to all brokers","https://kafka.apache.org/documentation/#networklayer"
Producer Configuration,"RecordTooLargeException: Message exceeds broker limit","Message size larger than max.message.bytes","Reduce message size or batch","Increase max.message.bytes on broker","Implement message splitting strategy","kafka-configs.sh --bootstrap-server localhost:9092 --describe --entity-type brokers","Messages send without size errors","https://kafka.apache.org/documentation/#brokerconfigs"
Producer Configuration,"BufferExhaustedException: Failed to allocate memory","Producer buffer pool exhausted","Increase buffer.memory setting","Optimize batch.size and linger.ms","Implement backpressure handling","kafka-run-class.sh kafka.tools.JmxTool --object-name kafka.producer:type=producer-metrics","No memory allocation exceptions","https://kafka.apache.org/documentation/#producertuning"
Producer Configuration,"Serialization errors during send","Invalid serializer configuration","Fix serializer class configuration","Implement proper error handling","Use schema registry for validation","grep 'SerializationException' producer.log","No serialization errors in logs","https://kafka.apache.org/documentation/#serialization"
Consumer Configuration,"CommitFailedException: Group has rebalanced","Processing time exceeds session timeout","Increase session.timeout.ms","Optimize processing logic speed","Implement manual offset commits","kafka-consumer-groups.sh --bootstrap-server localhost:9092 --describe --group your-group","No commit failures in consumer logs","https://kafka.apache.org/documentation/#consumerconfigs"
Consumer Configuration,"WakeupException during consumer poll","Consumer interrupted during poll","Implement proper shutdown handling","Use separate thread for shutdown","Add graceful shutdown timeout","grep 'WakeupException' consumer.log","Clean consumer shutdown","https://kafka.apache.org/documentation/#consumer"
Consumer Configuration,"InvalidOffsetException: Fetch position out of range","Consumer lag or offset reset needed","Reset consumer offset position","Implement auto.offset.reset policy","Add offset validation logic","kafka-consumer-groups.sh --bootstrap-server localhost:9092 --reset-offsets --group your-group --to-earliest","Consumer processes from valid offset","https://kafka.apache.org/documentation/#offsetmanagement"
Consumer Configuration,"Timeout determining partition position","Consumer group coordination issues","Increase session and heartbeat timeouts","Check group coordinator health","Implement retry logic for metadata","kafka-consumer-groups.sh --bootstrap-server localhost:9092 --list","Consumer connects and gets position","https://kafka.apache.org/documentation/#consumergroup"
Consumer Configuration,"High consumer lag continuously growing","Slow message processing or insufficient consumers","Add more consumer instances","Optimize message processing code","Implement parallel processing","kafka-consumer-groups.sh --bootstrap-server localhost:9092 --describe --group your-group","Consumer lag within acceptable bounds","https://kafka.apache.org/documentation/#consumerperformance"
